@bluestein_version 1
# VectorFFT Bluestein wisdom -- 36 entries
# Cells N=641,1009,2801,4001 (large Rader) trimmed: calibrator's
# measurements at those sizes were noisy and slightly regressed vs the
# heuristic. Those cells fall back to the heuristic at plan time, which
# beats the noisy wisdom for them. Re-calibration with longer per-trial
# budget pending (Phase B).
# N K M B best_ns
47 4 96 4 807.61
47 32 96 16 4638.30
47 256 96 64 40380.37
59 4 128 4 921.54
59 32 120 16 6881.00
59 256 120 16 54962.05
83 4 192 4 1483.91
83 32 192 16 10868.94
83 256 192 8 83904.31
107 4 256 4 1918.60
107 32 216 32 14466.66
107 256 216 64 116616.54
127 4 126 4 2635.77
127 32 126 32 11497.98
127 256 126 128 89776.80
167 4 384 4 3541.96
167 32 384 16 24945.47
167 256 384 16 200786.32
179 4 400 4 3475.68
179 32 384 16 26086.68
179 256 400 64 216906.98
251 4 250 4 3966.30
251 32 250 32 21778.64
251 256 250 64 173110.65
257 4 256 4 3740.74
257 32 256 32 22191.27
257 256 256 32 179026.32
263 4 640 4 6053.97
263 32 528 32 41417.11
263 256 576 32 355887.08
311 4 640 4 6335.95
311 32 640 16 48347.67
311 256 640 16 445811.03
401 4 400 4 7002.33
401 32 400 32 39265.50
401 256 400 32 356288.66
